Company Name,Company Revenue (in millions),Employee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone,AccountID,LeadID
Impetus,500,2300,Information Technology & Services,"Big Data, Data Warehouse Modernization, Data Analytics, Big Data Analytics, Data Science, Big Data Consulting, Big Data Implementation, workload transformation, real time analytics",Privately Held,United States,Los Gatos,EST,4180,103160
Incora,1200,1500,Truck Transportation,,Privately Held,United States,Fort Worth,EST,4190,103170
Indegene,300,3200,Management Consulting,"Analytics, Technology, Operations, Medical Affairs, Multichannel Marketing, Regulatory Affairs, Creative Solutions, Pharmacovigilance, Drug Safety, Pharma Branding, Medical Devices, Medical Communication, Medical Information Management, Pharma Marketing, Promotional Literature Review",Privately Held,United States,Princeton,EST,4200,103180
Indorama Ventures: Indovinya,2300,5800,Chemical Manufacturing,,Public Company,United States,The Woodlands,EST,4210,103190
Indorama Ventures: Integrated Oxides & Derivatives,4200,3200,Chemical Manufacturing,,Public Company,United States,The Woodlands,EST,4220,103200
"Ingalls Shipbuilding, a Division of HII",5000,12000,Shipbuilding,"San Antonio Class LPDs, America Class LHAs, Arleigh Burke Class DDGs, National Security Cutters",Public Company,United States,Pascagoula,EST,4230,103210
Ingredion Incorporated,6000,11000,Food and Beverage Services,"Food and Beverage Sweeteners, Personal Care, Food and Beverage Starches, Green Solutions, Health & Nutrition, Pharmaceutical, Industrial, Animal Nutrition and Co-Products, Ingredient Solutions, Corregating",Public Company,United States,Westchester,EST,4240,103220
"Intelligent Image Management, Inc. (IIMI) USA",200,1400,Outsourcing and Offshoring Consulting,"BPO, Offshore Outsourcing, Data Entry & Conversion, Accounting and Bookkeeping Support, Document & Records Management, Litigation Support, Medical Claims Processing, Data Conversion, Microfilm Digitization, Software Development",Privately Held,United States,Henderson,EST,4250,103230
Intelsat,500,1100,Telecommunications,"Satellite Services, Telecommunications, Media and Network Services",Public Company,United States,Mclean,EST,4260,103240
International Justice Mission,100,600,Non-profit Organizations,"Human Rights, Anti-slavery, Justice, Legal Aid",Nonprofit,United States,Arlington,EST,4270,103250
Invacare Corporation,1000,4200,Medical Equipment Manufacturing,,Public Company,United States,Elyria,EST,4280,103260
Iris Software Inc.,940,3200,Information Technology & Services,"Application Development, Application Maintenance and Support, Testing and Quality Assurance, Mobile Applications Development, Cloud Solutions, Product Development, Professional Services, Software Engineering, Data & Analytics, Intelligent Automation",Privately Held,United States,Edison,EST,4290,103270
Irvine Company,2000,4600,Real Estate,"Real Estate Investment, Resort Properties, Retail Properties, Apartment Communities, Office Properties, Master Planning and Development, Homebuilding, Property Management",Privately Held,United States,Newport Beach,EST,4300,103280
Iusacell,750,1500,Telecommunications,"Telecomunicaciones, Internet Móvil, Telefonía Celular, Localización, Soluciones Integrales de Comunicación para Empresas",Privately Held,Mexico,Mexico City,CST,4310,103290
